Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_Ranking,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Current_Job_Level,Work_Life_Balance,Entrepreneurship,Interest
S00001,24,Male,3.58,1052,291,3.96,Arts,3,7,2,9,8,5,27200,4,5,Entry,7,No,Medicine
S00002,21,Other,2.52,1211,112,3.63,Law,4,7,3,8,1,4,25000,1,1,Mid,7,No,AI
S00003,28,Female,3.42,1193,715,2.63,Medicine,4,8,1,1,9,0,42400,9,3,Entry,7,No,HR
S00004,25,Male,2.43,1497,170,2.81,Computer Science,3,9,1,10,6,1,57400,7,5,Mid,5,No,Cybersecurity
S00005,22,Male,2.08,1012,599,2.48,Engineering,4,6,4,10,9,4,47600,9,5,Entry,2,No,Creative Writing
S00006,24,Male,2.4,1600,631,3.78,Law,2,3,2,2,2,1,68400,9,2,Entry,8,Yes,Nursing
S00007,27,Male,2.36,1011,610,3.83,Computer Science,0,1,3,3,3,2,55500,7,4,Mid,3,No,Entrepreneurship
S00008,20,Male,2.68,1074,240,2.84,Computer Science,1,5,5,5,1,2,38000,2,3,Entry,3,No,Music
S00009,24,Male,2.84,1201,337,3.31,Business,2,3,0,5,5,2,68900,2,2,Entry,2,No,Biomedical Engineering
S00010,28,Male,3.02,1415,138,2.33,Computer Science,1,5,3,10,2,0,58900,4,2,Senior,2,No,Music
S00011,28,Female,2.95,1120,594,2.87,Mathematics,2,7,5,8,1,5,26300,9,1,Entry,2,No,Marketing
S00012,25,Female,2.54,1070,236,3.26,Law,2,2,3,2,9,5,35100,7,4,Mid,6,Yes,Nursing
S00013,22,Female,2.06,1217,648,2.77,Engineering,2,0,5,2,9,2,42600,9,4,Senior,8,No,Marketing
S00014,21,Male,3.21,1112,794,2.72,Arts,0,4,3,8,6,2,76500,4,3,Entry,3,No,Marketing
S00015,25,Male,2.79,1152,3,2.0,Business,1,2,3,1,8,1,61100,9,3,Entry,6,Yes,AI
S00016,25,Female,2.6,1023,571,3.61,Computer Science,3,5,2,9,9,3,34500,7,4,Senior,3,No,Biomedical Engineering
S00017,20,Female,3.73,1539,116,3.78,Law,3,2,3,2,5,3,97500,8,5,Mid,9,No,Entrepreneurship
S00018,23,Male,3.49,1112,472,3.94,Mathematics,4,0,5,5,2,5,61800,1,5,Senior,1,No,Biomedical Engineering
S00019,22,Female,3.72,1523,131,3.44,Mathematics,0,8,5,3,4,5,32200,9,2,Entry,7,No,Biomedical Engineering
S00020,19,Female,2.99,984,934,3.1,Mathematics,0,4,1,5,3,2,45500,8,4,Senior,8,No,Nursing
S00021,25,Female,2.26,1415,898,2.54,Medicine,0,1,5,8,10,5,42200,1,2,Entry,9,No,Biomedical Engineering
S00022,29,Male,3.39,964,483,4.0,Business,2,1,1,8,7,3,37400,8,5,Senior,5,No,Film
S00023,23,Female,2.41,1217,401,3.18,Engineering,0,8,5,6,10,2,69500,5,3,Senior,6,No,Biomedical Engineering
S00024,19,Female,2.88,1245,201,3.36,Medicine,3,0,3,9,10,2,48100,3,4,Mid,5,No,Robotics
S00025,29,Female,2.13,1531,292,3.36,Engineering,0,9,5,7,10,0,63900,8,1,Mid,10,No,Biology
S00026,22,Female,3.65,1142,342,3.69,Medicine,2,2,1,2,8,4,48100,3,2,Entry,5,No,Entrepreneurship
S00027,18,Female,2.25,1036,991,2.02,Arts,1,9,2,1,5,3,44600,8,4,Entry,7,No,Entrepreneurship
S00028,29,Female,3.81,1146,610,2.44,Engineering,0,6,0,8,2,2,41000,5,1,Entry,4,No,Corporate Law
S00029,27,Male,3.73,1340,216,3.33,Medicine,1,0,3,1,9,3,50300,8,2,Mid,6,No,Medicine
S00030,23,Female,2.93,944,636,3.79,Mathematics,4,1,5,8,1,0,38300,3,5,Executive,4,No,Software Development
S00031,29,Female,3.49,1557,585,3.37,Engineering,2,5,1,9,5,0,49500,10,2,Senior,2,No,AI
S00032,26,Female,3.24,1587,366,2.83,Business,0,8,1,1,3,2,41500,6,3,Entry,2,No,Psychology
S00033,18,Male,3.61,1453,890,2.72,Engineering,4,8,2,7,8,3,29800,6,2,Mid,4,No,Biology
S00034,28,Male,2.86,988,642,3.48,Law,4,7,5,5,8,3,44600,4,2,Entry,5,No,Biomedical Engineering
S00035,28,Female,3.57,1127,469,3.48,Engineering,1,2,2,8,1,3,25000,5,4,Entry,1,Yes,Software Development
S00036,27,Female,2.92,1190,418,3.21,Medicine,3,1,0,4,4,0,70300,7,4,Entry,3,No,Data Science
S00037,29,Female,3.88,1321,27,2.58,Engineering,3,0,5,2,10,1,57500,1,5,Executive,5,No,Nursing
S00038,29,Female,2.97,966,677,3.85,Arts,3,8,4,7,8,1,43000,8,3,Entry,8,No,HR
S00039,20,Female,2.93,1150,455,3.1,Computer Science,3,4,4,7,9,3,25000,3,3,Entry,4,Yes,Marketing
S00040,29,Female,3.57,940,918,3.58,Business,2,2,5,8,9,3,50200,7,5,Entry,6,Yes,Cybersecurity
S00041,24,Female,3.64,998,580,2.43,Law,0,9,4,9,2,4,53400,9,1,Mid,4,No,Medicine
S00042,21,Female,3.11,1205,14,2.69,Mathematics,0,9,0,6,9,2,56300,2,2,Entry,5,No,AI
S00043,26,Female,2.36,1355,98,3.75,Medicine,2,4,3,3,8,0,38400,10,4,Senior,7,No,Finance
S00044,20,Male,2.94,1490,279,2.1,Mathematics,1,2,4,5,9,4,53200,10,5,Entry,8,Yes,Medicine
S00045,22,Male,3.94,1200,940,3.02,Mathematics,0,8,4,3,9,3,78700,7,5,Entry,10,Yes,Software Development
S00046,20,Female,3.51,1098,490,2.96,Engineering,4,0,5,10,3,5,42200,1,4,Mid,10,No,Entrepreneurship
S00047,24,Male,3.62,1558,985,3.5,Engineering,0,0,1,9,5,1,65500,5,4,Entry,8,No,Data Science
S00048,22,Male,2.07,1387,961,2.56,Engineering,2,2,1,5,3,1,49800,7,1,Mid,7,Yes,Robotics
S00049,26,Male,2.94,1005,883,2.44,Business,1,5,3,7,6,4,47900,5,3,Mid,4,Yes,AI
S00050,24,Male,3.29,1300,759,3.85,Law,0,1,5,10,10,1,52000,5,4,Mid,4,No,Software Development
S00051,19,Male,3.66,1376,624,3.14,Computer Science,2,0,2,7,5,1,42000,6,5,Senior,2,No,Medicine
S00052,21,Male,2.1,1021,207,2.21,Arts,4,7,0,7,2,5,52100,10,2,Senior,9,No,Marketing
S00053,26,Female,3.7,976,864,2.39,Law,3,9,4,10,3,2,64500,10,1,Mid,6,Yes,Psychology
S00054,29,Female,3.1,1211,846,4.0,Arts,4,8,5,4,7,3,63500,6,2,Executive,3,No,Medicine
S00055,19,Male,2.39,1011,233,2.39,Mathematics,4,9,5,4,10,4,67200,10,2,Entry,3,No,Creative Writing
S00056,27,Male,2.63,1581,573,3.22,Law,1,0,0,3,10,5,40600,2,3,Senior,1,Yes,Nursing
S00057,26,Female,2.56,1417,597,2.84,Medicine,0,2,1,4,5,0,50900,10,2,Entry,2,No,AI
S00058,27,Male,3.06,1096,695,3.77,Computer Science,3,4,0,9,3,0,82700,10,5,Entry,5,No,Cybersecurity
S00059,22,Female,2.1,997,239,3.51,Computer Science,2,6,1,5,4,5,35400,9,5,Senior,9,No,Marketing
S00060,19,Female,2.32,1358,250,3.19,Business,3,9,0,6,6,3,48300,3,4,Entry,3,No,Software Development
S00061,21,Female,3.63,1129,583,2.02,Law,0,3,1,4,8,0,31800,1,3,Entry,7,No,Marketing
S00062,29,Male,2.27,1067,740,3.76,Engineering,1,5,0,1,7,5,51600,1,4,Entry,6,No,AI
S00063,29,Female,2.47,907,597,2.89,Computer Science,0,0,4,7,3,1,65600,9,2,Entry,3,No,Criminal Law
S00064,24,Male,2.91,1071,306,3.86,Law,2,3,4,7,2,2,75700,6,5,Entry,4,Yes,AI
S00065,29,Female,3.03,1259,1000,2.99,Engineering,3,7,3,6,3,4,35000,7,4,Entry,5,No,Marketing
S00066,25,Female,3.53,1094,908,3.39,Business,4,4,0,4,5,4,37600,2,5,Mid,2,No,AI
S00067,20,Male,2.89,1168,463,2.14,Mathematics,0,7,2,10,7,1,73700,1,4,Mid,8,Yes,Robotics
S00068,18,Male,3.58,918,783,3.49,Mathematics,1,0,3,8,8,3,25000,2,1,Mid,7,No,Cybersecurity
S00069,21,Male,3.24,1253,913,2.68,Law,1,9,0,8,6,2,40400,3,3,Entry,9,No,Entrepreneurship
S00070,19,Female,2.23,948,802,2.7,Law,3,8,2,1,2,0,64600,3,4,Senior,8,No,Music
S00071,25,Male,2.31,1363,236,2.24,Medicine,4,3,4,9,2,4,25000,8,2,Entry,7,No,Psychology
S00072,21,Female,2.87,1255,291,2.29,Law,2,8,4,8,10,4,34300,4,5,Entry,9,No,Marketing
